hgnc_id	GeneSymbol	gene	TSSD	length	CDS_length	pLI	LOEUF	ABC_count	ABC_length_per_type	Roadmap_count	Roadmap_length_per_type	promoter_count	connect_decile	connect_quantile	connectedness	PPI_degree_decile	PPI_degree_quantile	PPI_degree_cat	TF	HI	hs
HGNC:14825	ENSG00000186092	OR4F5	0	6.166	0.981	0.030354	1.84	0	0	0	0	0	0	0	0	4	2	1	0	0	0.00443848891929715
HGNC:15079	ENSG00000284662	OR4F16	11	0.938	0.939	NA	NA	0	0	26	0.307692307692308	0	0	0	0	4	2	1	0	NA	NA
HGNC:28706	ENSG00000187634	SAMD11	29	20.652	2.538	4.7681e-14	1.28	39	3.30217948717949	104	1.72307692307692	9	0	0	0	1	1	1	0	0	0.00505140849196764
HGNC:24517	ENSG00000188976	NOC2L	32	15.106	2.25	2.8933e-29	1.327	120	2.53705833333333	80	0.6475	1	0	0	0	10	5	1	0	0	0.000336407082049989
HGNC:24023	ENSG00000187961	KLHL17	32	5.135	1.929	1.3052e-16	1.259	85	2.43148235294118	45	0.324444444444444	1	8	4	1	5	3	1	0	0	0.00309058256306364
HGNC:25284	ENSG00000187583	PLEKHN1	32	9.383	1.992	1.1549e-14	1.124	113	2.27805309734513	100	1.654	1	6	3	1	3	2	1	0	0	0.0005439925223699
HGNC:28208	ENSG00000187642	PERM1	33	6.889	2.373	1.1667e-15	1.686	15	2.956	61	0.940983606557377	2	6	3	1	0	0	0	0	0	NA
HGNC:24149	ENSG00000188290	HES4	33	1.21	0.744	1.3746e-05	1.947	120	2.22170833333333	75	0.664	6	10	5	1	3	2	1	1	0	NA
HGNC:4053	ENSG00000187608	ISG15	33	13.402	0.498	0.40527	1.691	129	2.31518604651163	89	0.759550561797753	2	10	5	1	9	5	1	0	0	0.0615996323304607
HGNC:329	ENSG00000188157	AGRN	34	35.998	6.138	5.4727e-07	0.435	113	2.54904424778761	75	0.936	4	9	5	1	9	5	1	0	0	0.0264756523645003
HGNC:40020	ENSG00000237330	RNF223	35	3.339	0.75	0.026565	1.867	38	4.28563157894737	94	1.51914893617021	1	0	0	0	0	0	0	0	0	NA
HGNC:26062	ENSG00000131591	C1orf159	38	34.543	1.143	0.0001645	1.302	126	2.71202380952381	43	0.409302325581395	3	5	3	1	1	1	1	0	0	0.0136930571262659
HGNC:26693	ENSG00000162571	TTLL10	40	24.056	2.022	1.2286e-11	1.132	5	2.5188	90	1.25333333333333	4	6	3	1	3	2	1	0	0	0.000166880848790654
HGNC:11914	ENSG00000186891	TNFRSF18	40	3.084	0.768	1.4516e-06	1.88	62	2.75583870967742	99	2.78989898989899	4	3	2	1	5	3	1	0	0	9.71708272388569e-05
