locus	locus_pos	gene	caldera	multi	n_genes	dist	pops	coding	impute_pops	ensgid
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	GBF1	0.387978771912729	0.227611272996061	18	0	0.445511434421365	0	FALSE	ENSG00000107862
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	PITX3	0.0730678096038538	0.0428658946389672	18	14010	0.0123087874118349	0	FALSE	ENSG00000107859
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	NFKB2	0.0535931491945398	0.0314409080989124	18	138588	0.390633754065333	0	FALSE	ENSG00000077150
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	PSD	0.0465081602345684	0.0272844349279914	18	147095	0.318433939683098	0	FALSE	ENSG00000059915
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	PPRC1	0.0457705497410621	0.0268517090276167	18	105189	0.22347288753816	0	FALSE	ENSG00000148840
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	HPS6	0.0393438318949807	0.0230814165888795	18	187486	0.277557597824348	0	FALSE	ENSG00000166189
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	TRIM8	0.0356392140015723	0.0209080688293471	18	386981	0.401875084530391	0	FALSE	ENSG00000171206
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	LDB1	0.0350181635247472	0.0205437239222067	18	135154	0.1231223390921	0	FALSE	ENSG00000198728
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	NOLC1	0.0342663351265167	0.0201026569587948	18	91651	0.0113505655919939	0	FALSE	ENSG00000166197
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	ACTR1A	0.0337354479040859	0.0197912071443652	18	206359	0.208017785983834	0	FALSE	ENSG00000138107
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	SUFU	0.0323068210052481	0.0189530901889509	18	248450	0.22893501315066	0	FALSE	ENSG00000107882
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	FBXL15	0.0317664662487003	0.0186360861595785	18	163667	0.112353704247893	0	FALSE	ENSG00000107872
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	ARMH3	0.0317267597125084	0.0186127919592171	18	199329	0.16176627829104	0	FALSE	ENSG00000120029
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	ELOVL3	0.0310176340501535	0.0181967769439443	18	25933	-0.365586633358432	0	FALSE	ENSG00000119915
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	CUEDC2	0.0270472412140567	0.0158675098985769	18	167723	0.0207363485314373	0	FALSE	ENSG00000107874
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	MFSD13A	0.0233609113395603	0.0137048909715644	18	205873	-0.0160097669238944	0	FALSE	ENSG00000138111
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	C10orf95	0.0200419611895985	0.0117577986991728	18	194315	-0.123526266680181	0	FALSE	ENSG00000120055
chr10_103010848_104708458_1_rs10748818	10_103640629_104464210	ARL3	0.0178107721015177	0.0104488513407147	18	418209	0.000593639100452887	0	FALSE	ENSG00000138175
chr10_120678783_122359599_1_rs72840788	10_121115685_121733675	BAG3	0.654097322312416	0.803293481424111	7	0	0.643889078755052	0.150556487968022	FALSE	ENSG00000151929
chr10_120678783_122359599_1_rs72840788	10_121115685_121733675	TIAL1	0.089806762896968	0.110291213191174	7	59144	0.322972824067866	0	FALSE	ENSG00000151923
chr10_120678783_122359599_1_rs72840788	10_121115685_121733675	RGS10	0.0750920438912605	0.0922201441696954	7	113454	0.368639026615556	0	FALSE	ENSG00000148908
chr10_120678783_122359599_1_rs72840788	10_121115685_121733675	INPP5F	0.0661299855718372	0.081213887481953	7	69869	0.162757254447966	0	FALSE	ENSG00000198825
chr10_120678783_122359599_1_rs72840788	10_121115685_121733675	SEC23IP	0.0423238316326516	0.051977675033444	7	236534	0.186754828723942	0	FALSE	ENSG00000107651
chr10_120678783_122359599_1_rs72840788	10_121115685_121733675	MCMBP	0.037913765220893	0.0465616956671179	7	173231	0.0382310659240629	0	FALSE	ENSG00000197771
chr10_120678783_122359599_1_rs72840788	10_121115685_121733675	GRK5	0.0346362884739731	0.0425366437115278	7	196428	0.0136442684186459	0	FALSE	ENSG00000198873
chr10_120678783_122359599_2_rs117896735	10_121236327_121836327	INPP5F	0.438072429600443	0.398726312914876	6	0	0.162757254447966	0	FALSE	ENSG00000198825
chr10_120678783_122359599_2_rs117896735	10_121236327_121836327	BAG3	0.188057638564933	0.171166966405225	6	98996	0.643889078755052	0	FALSE	ENSG00000151929
chr10_120678783_122359599_2_rs117896735	10_121236327_121836327	MCMBP	0.0980144827025134	0.0892111684268216	6	52589	0.0382310659240629	0	FALSE	ENSG00000197771
chr10_120678783_122359599_2_rs117896735	10_121236327_121836327	TIAL1	0.0941320560380698	0.0856774475978529	6	179786	0.322972824067866	0	FALSE	ENSG00000151923
chr10_120678783_122359599_2_rs117896735	10_121236327_121836327	RGS10	0.0910738202294231	0.0828938917161962	6	234096	0.368639026615556	0	FALSE	ENSG00000148908
chr10_120678783_122359599_2_rs117896735	10_121236327_121836327	SEC23IP	0.0906495728646174	0.082507748749639	6	115892	0.186754828723942	0	FALSE	ENSG00000107651
chr10_15037270_16141438_1_rs878321	10_15238218_15897263	ITGA8	0.750584410104696	0.870746647162851	3	0	0.974125538743849	0	FALSE	ENSG00000077943
chr10_15037270_16141438_1_rs878321	10_15238218_15897263	MINDY3	0.129014751125892	0.149668925260186	3	263054	0.222043386755026	0	FALSE	ENSG00000148481
chr10_15037270_16141438_1_rs878321	10_15238218_15897263	FAM171A1	0.120400838769411	0.139675998145813	3	143827	0.0200166852880848	0	FALSE	ENSG00000148468
chr11_10019870_11201783_1_rs4910149	11_10233056_10859783	RNF141	0.355616231234353	0.370061440284054	9	164	0.424018045539543	0	FALSE	ENSG00000110315
chr11_10019870_11201783_1_rs4910149	11_10233056_10859783	AMPD3	0.190061565117936	0.197781907440086	9	3930	0.274320759159761	0	FALSE	ENSG00000133805
chr11_10019870_11201783_1_rs4910149	11_10233056_10859783	LYVE1	0.178149817300081	0.185386301821986	9	45457	0.800588848216379	0	FALSE	ENSG00000133800
chr11_10019870_11201783_1_rs4910149	11_10233056_10859783	IRAG1	0.12354753858712	0.128566066611762	9	61582	0.617695632282564	0	FALSE	ENSG00000072952
chr11_10019870_11201783_1_rs4910149	11_10233056_10859783	SBF2	0.0431569995752397	0.0449100463320154	9	206632	0.240961832134652	0	FALSE	ENSG00000133812
chr11_10019870_11201783_1_rs4910149	11_10233056_10859783	EIF4G2	0.0366223019771314	0.0381099078890007	9	285541	0.22099325560472	0	FALSE	ENSG00000110321
chr11_10019870_11201783_1_rs4910149	11_10233056_10859783	CTR9	0.0340882362479753	0.0354729078559849	9	239509	0.131660236430997	0	FALSE	ENSG00000198730
chr11_10019870_11201783_1_rs4910149	11_10233056_10859783	ZBED5	0.0215624150147558	0.0224382850261539	9	300565	-0.0923104727086977	0	FALSE	ENSG00000236287
chr11_10019870_11201783_1_rs4910149	11_10233056_10859783	ADM	0.0171948949454077	0.0178933553368581	9	204112	-0.329065357330583	0	FALSE	ENSG00000148926
chr11_133099939_134357922_1_rs2156675	11_133407509_134096676	SPATA19	0.388710786652689	0.217919783086393	5	3017	-0.139752866986692	0	FALSE	ENSG00000166118
chr11_133099939_134357922_1_rs2156675	11_133407509_134096676	IGSF9B	0.249431296999563	0.139836649775477	5	58824	0.229356475586298	0	FALSE	ENSG00000080854
chr11_133099939_134357922_1_rs2156675	11_133407509_134096676	JAM3	0.160390304534553	0.0899183186407429	5	231457	0.278997444549316	0	FALSE	ENSG00000166086
chr11_133099939_134357922_1_rs2156675	11_133407509_134096676	NCAPD3	0.104678493538241	0.0586850568313296	5	312499	0.0802313419275446	0	FALSE	ENSG00000151503
