ENSGID	CHR	START	END	TSS	STRAND	NAME
ENSG00000186092	1	65419	71585	65419	+	OR4F5
ENSG00000235249	1	367640	368634	367640	+	OR4F29
ENSG00000187634	1	859303	879955	859303	+	SAMD11
ENSG00000188976	1	879583	894689	894689	-	NOC2L
ENSG00000187961	1	895964	901099	895964	+	KLHL17
ENSG00000187583	1	901862	911245	901862	+	PLEKHN1
ENSG00000187642	1	910578	917497	917497	-	PERM1
ENSG00000188290	1	934342	935552	935552	-	HES4
ENSG00000187608	1	936518	949920	936518	+	ISG15
ENSG00000188157	1	955500	991498	955500	+	AGRN
ENSG00000237330	1	1006347	1009686	1009686	-	RNF223
ENSG00000131591	1	1017198	1051741	1051741	-	C1orf159
ENSG00000162571	1	1109260	1133316	1109260	+	TTLL10
ENSG00000186891	1	1138888	1141972	1141972	-	TNFRSF18
ENSG00000186827	1	1146706	1149533	1149533	-	TNFRSF4
ENSG00000078808	1	1152311	1167411	1167411	-	SDF4
ENSG00000176022	1	1167617	1170421	1167617	+	B3GALT6
ENSG00000184163	1	1177826	1182102	1182102	-	C1QTNF12
ENSG00000160087	1	1189289	1209244	1209244	-	UBE2J2
ENSG00000162572	1	1215816	1227409	1215816	+	SCNN1D
ENSG00000131584	1	1227770	1244989	1244989	-	ACAP3
ENSG00000169972	1	1243977	1247057	1243977	+	PUSL1
ENSG00000127054	1	1246965	1260067	1260067	-	INTS11
ENSG00000224051	1	1260136	1264276	1260136	+	CPTP
ENSG00000169962	1	1266660	1270694	1266660	+	TAS1R3
ENSG00000107404	1	1270656	1284798	1284798	-	DVL1
ENSG00000162576	1	1288069	1297157	1297157	-	MXRA8
ENSG00000175756	1	1309110	1310587	1310587	-	AURKAIP1
ENSG00000221978	1	1321091	1334715	1334715	-	CCNL2
ENSG00000242485	1	1337289	1342673	1342673	-	MRPL20
ENSG00000235098	1	1353800	1357149	1357149	-	ANKRD65
ENSG00000205116	1	1361251	1365635	1361251	+	TMEM88B
ENSG00000179403	1	1370241	1378262	1370241	+	VWA1
ENSG00000215915	1	1385069	1405543	1385069	+	ATAD3C
ENSG00000160072	1	1407145	1433228	1407145	+	ATAD3B
ENSG00000197785	1	1447542	1470065	1447542	+	ATAD3A
ENSG00000205090	1	1470158	1476004	1476004	-	TMEM240
ENSG00000160075	1	1477053	1510243	1510243	-	SSU72
