ENSGID	CHR	START	END	TSS	STRAND	NAME	TYPE
ENSG00000186092	1	65419	71585	65419	+	OR4F5	protein_coding
ENSG00000237683	1	134901	139379	139379	-	AL627309.1	protein_coding
ENSG00000235249	1	367640	368634	367640	+	OR4F29	protein_coding
ENSG00000284662	1	621096	622034	622034	-	OR4F16	protein_coding
ENSG00000187634	1	859303	879955	859303	+	SAMD11	protein_coding
ENSG00000188976	1	879583	894689	894689	-	NOC2L	protein_coding
ENSG00000187961	1	895964	901099	895964	+	KLHL17	protein_coding
ENSG00000187583	1	901862	911245	901862	+	PLEKHN1	protein_coding
ENSG00000187642	1	910578	917497	917497	-	PERM1	protein_coding
ENSG00000188290	1	934342	935552	935552	-	HES4	protein_coding
ENSG00000187608	1	936518	949920	936518	+	ISG15	protein_coding
ENSG00000188157	1	955500	991499	955500	+	AGRN	protein_coding
ENSG00000237330	1	1006347	1009686	1009686	-	RNF223	protein_coding
ENSG00000131591	1	1017198	1051741	1051741	-	C1orf159	protein_coding
ENSG00000162571	1	1109260	1133316	1109260	+	TTLL10	protein_coding
ENSG00000186891	1	1138888	1141972	1141972	-	TNFRSF18	protein_coding
ENSG00000186827	1	1146706	1149533	1149533	-	TNFRSF4	protein_coding
ENSG00000078808	1	1152311	1167411	1167411	-	SDF4	protein_coding
ENSG00000176022	1	1167617	1170421	1167617	+	B3GALT6	protein_coding
ENSG00000184163	1	1177826	1182102	1182102	-	C1QTNF12	protein_coding
ENSG00000160087	1	1189289	1209244	1209244	-	UBE2J2	protein_coding
ENSG00000162572	1	1215816	1227409	1215816	+	SCNN1D	protein_coding
ENSG00000131584	1	1227770	1244989	1244989	-	ACAP3	protein_coding
ENSG00000169972	1	1243977	1247057	1243977	+	PUSL1	protein_coding
ENSG00000127054	1	1246965	1260067	1260067	-	INTS11	protein_coding
ENSG00000224051	1	1260136	1264276	1260136	+	CPTP	protein_coding
ENSG00000169962	1	1266660	1270694	1266660	+	TAS1R3	protein_coding
ENSG00000107404	1	1270656	1284798	1284798	-	DVL1	protein_coding
ENSG00000162576	1	1288069	1297157	1297157	-	MXRA8	protein_coding
ENSG00000175756	1	1309110	1310587	1310587	-	AURKAIP1	protein_coding
ENSG00000221978	1	1321091	1334715	1334715	-	CCNL2	protein_coding
ENSG00000242485	1	1337289	1342673	1342673	-	MRPL20	protein_coding
ENSG00000235098	1	1353800	1357149	1357149	-	ANKRD65	protein_coding
ENSG00000205116	1	1361251	1365635	1361251	+	TMEM88B	protein_coding
ENSG00000179403	1	1370241	1378262	1370241	+	VWA1	protein_coding
ENSG00000215915	1	1385069	1405543	1385069	+	ATAD3C	protein_coding
ENSG00000160072	1	1407145	1433228	1407145	+	ATAD3B	protein_coding
ENSG00000197785	1	1447542	1470065	1447542	+	ATAD3A	protein_coding
ENSG00000205090	1	1470158	1476004	1476004	-	TMEM240	protein_coding
ENSG00000160075	1	1477053	1510243	1510243	-	SSU72	protein_coding
ENSG00000228594	1	1533392	1535515	1535515	-	FNDC10	protein_coding
ENSG00000197530	1	1550834	1565985	1550834	+	MIB2	protein_coding
ENSG00000189409	1	1567542	1570639	1567542	+	MMP23B	protein_coding
ENSG00000248333	1	1570601	1590473	1590473	-	CDK11B	protein_coding
ENSG00000189339	1	1590990	1624234	1624234	-	SLC35E2B	protein_coding
ENSG00000008128	1	1633818	1655796	1655796	-	CDK11A	protein_coding
ENSG00000008130	1	1682671	1711896	1711896	-	NADK	protein_coding
ENSG00000078369	1	1716724	1823731	1823731	-	GNB1	protein_coding
ENSG00000169885	1	1846547	1848735	1846547	+	CALML6	protein_coding
ENSG00000178821	1	1849029	1850718	1850718	-	TMEM52	protein_coding
ENSG00000142609	1	1853390	1935276	1935276	-	CFAP74	protein_coding
ENSG00000187730	1	1950768	1962197	1950768	+	GABRD	protein_coding
ENSG00000067606	1	1981850	2116834	1981850	+	PRKCZ	protein_coding
ENSG00000162585	1	2115900	2144159	2144159	-	FAAP20	protein_coding
